CoC Number,CoC Name,CoC Category,"Overall Homeless 2019","Overall Homeless - Under 18 2019","Overall Homeless - Age 18 to 24 2019","Overall Homeless - Over 24 2019","Overall Homeless - Female 2019","Overall Homeless - Male 2019","Overall Homeless - Transgender 2019","Overall Homeless - Gender Non-Conforming 2019","Overall Homeless - Non-Hispanic/Non-Latino, 2019","Overall Homeless - Hispanic/Latino, 2019","Overall Homeless - White, 2019","Overall Homeless - Black or African American, 2019","Overall Homeless - Asian, 2019","Overall Homeless - American Indian or Alaska Native, 2019","Overall Homeless - Native Hawaiian or Other Pacific Islander 2019","Overall Homeless - Multiple Races 2019"
CA-508,Watsonville/Santa Cruz City & County CoC,Largely Suburban CoC, 2167 ,300,594, 1,273 ,713, 1,453 ,1,0, 1,452 ,715, 1,455 ,164
CA-509,Mendocino County CoC,Largely Rural CoC,785,52,48,685,283,500,0,2,702,83,629,13,2,67,16,58
CA-510, Turlock Modesto/Stanislaus County CoC ,Largely Suburban CoC, 1,923 ,250,137, 1,536 ,717, 1,199 ,5,2, 1,324 ,599, 1,484 
CA-511,Stockton/San Joaquin County CoC,Other Largely Urban CoC, 2631 ,342,148, 2,141 ,968, 1,660 ,3,0, 1,820 ,811, 1,717 ,666
CA-512,Daly/San Mateo County CoC,Largely Suburban CoC, 1512 ,238,59, 1,215 ,497, 1,011 ,4,0,936,576, 1,007 ,201,38
CA-513, Visalia/Kings Tulare Counties CoC ,Other Largely Urban CoC, 1,064 ,87,79,898,421,642,1,0,591,473,890,116,12,14,8
CA-514,Fresno City & County/Madera County CoC,Major City CoC, 2508 ,160,138, 2,210 ,855, 1,648 ,2,3, 1,342 , 1,166 , 1,682 
CA-515, Roseville Rocklin/Placer County CoC ,Largely Suburban CoC,617,77,36,504,228,386,2,1,519,98,476,50,9,37,6,39
CA-516, Redding/Shasta Siskiyou Lassen Plumas Del Norte Modoc Sierra Counties CoC ,Largely Rural CoC, 1,349 ,126,108, 1,115 ,506,836,2,5, 1,256 ,93, 1,090 ,43
CA-517,Napa City & County CoC,Other Largely Urban CoC,322,34,23,265,108,213,1,0,198,124,248,11,4,31,13,15
CA-518,Vallejo/Solano County CoC,Other Largely Urban CoC, 1151 ,52,210,889,304,846,1,0,964,187,444,428,22,33,59,165
CA-519, Chico Paradise/Butte County CoC ,Largely Rural CoC, 1,266 ,127,73, 1,066 ,485,775,3,3, 1,103 ,163, 1,009 ,64
CA-520,Merced City & County CoC,Largely Suburban CoC,608,111,18,479,210,398,0,0,401,207,445,79,1,12,3,68
CA-521, Davis Woodland/Yolo County CoC ,Largely Suburban CoC,655,86,47,522,231,422,1,1,448,207,454,121,14,20,14,32
CA-522,Humboldt County CoC,Largely Rural CoC, 1702 ,82,88, 1,532 ,267, 1,425 ,2,8, 1,626 ,76, 1,500 ,46
CA-523, Colusa Glenn Trinity Counties CoC ,Largely Rural CoC,192,36,6,150,78,114,0,0,154,38,169,3,4,15,1,0
CA-524,Yuba City & County/Sutter County CoC,Largely Suburban CoC,721,100,24,597,314,404,2,1,620,101,545,45,10,51,5,65
CA-525,El Dorado County CoC,Largely Suburban CoC,613,70,91,452,216,384,6,7,447,166,567,25,0,17,1,3
CA-526, Amador Calaveras Mariposa Tuolumne Counties CoC ,Largely Rural CoC,845,108,73,664,346,499,0,0,791,54,731,20,6,42,5,41
CA-527,Tehama County CoC,Largely Rural CoC,288,33,20,235,110,178,0,0,237,51,251,4,1,21,0,11
CA-529,Lake County CoC,Largely Rural CoC,408,26,28,354,176,232,0,0,351,57,344,9,1,31,3,20
CA-530, Alpine Inyo Mono Counties CoC ,Largely Rural CoC,214,10,30,174,72,142,0,0,190,24,195,0,0,19,0,0
CA-531,Nevada County CoC,Largely Rural CoC,415,43,33,339,145,269,0,1,384,31,383,6,0,12,3,11
CA-600,Los Angeles City & County CoC,Major City CoC, 56257 , 5,061 , 3,527 , 47,669 , 17,476 , 37,537 , 1,048 ,196, 35,734 
CA-601,San Diego City and County CoC,Major City CoC, 8102 , 1,050 ,499, 6,553 , 2,697 , 5,364 ,25,16, 5,750 , 2,352 
CA-602, Santa Ana Anaheim/Orange County CoC ,Largely Suburban CoC, 6,860 ,980,271, 5,609 , 2,536 , 4,310 ,7,7, 4,380 , 2,480 
CA-603,Santa Maria/Santa Barbara County CoC,Largely Suburban CoC, 1803 ,237,96, 1,470 ,706, 1,090 ,0,7, 1,108 ,695, 1,499 ,128
CA-604,Bakersfield/Kern County CoC,Other Largely Urban CoC, 1330 ,141,100, 1,089 ,402,927,1,0,938,392,978,205,10,58,10
CA-606,Long Beach CoC,Major City CoC, 1894 ,120,67, 1,707 ,578, 1,311 ,3,2, 1,296 ,598, 1,049 ,664
CA-607,Pasadena CoC,Other Largely Urban CoC,542,50,32,460,169,366,5,2,369,173,296,186,9,15,5,31
CA-608,Riverside City & County CoC,Largely Suburban CoC, 2811 ,214,276, 2,321 ,944, 1,844 ,14,9, 1,821 ,990, 1,888 ,494
CA-609,San Bernardino City & County CoC,Largely Suburban CoC, 2607 ,300,178, 2,129 ,892, 1,695 ,4,16, 1,809 ,798, 1,402 ,658
CA-611, Oxnard San Buenaventura/Ventura County CoC ,Other Largely Urban CoC, 1,669 ,116,93, 1,460 ,559, 1,101 ,7,2, 1,048 ,621, 1,329 
CA-612,Glendale CoC,Other Largely Urban CoC,243,49,9,185,108,134,1,0,141,102,140,47,7,11,4,34
CA-613,Imperial County CoC,Largely Suburban CoC, 1413 ,128,91, 1,194 ,466,923,12,12,929,484, 1,244 ,84,0,37
CA-614,San Luis Obispo County CoC,Largely Suburban CoC, 1483 ,142,165, 1,176 ,468, 1,015 ,0,0, 1,063 ,420, 1,070 ,96
CO-500,Colorado Balance of State CoC,Largely Rural CoC, 2302 ,317,186, 1,799 ,763, 1,516 ,16,7, 1,717 ,585, 1,809 ,99
CO-503,Metropolitan Denver CoC,Major City CoC, 5755 ,858,364, 4,533 , 1,931 , 3,761 ,33,30, 4,357 , 1,398 , 3
CO-504,Colorado Springs/El Paso County CoC,Major City CoC, 1562 ,283,135, 1,144 ,544, 1,012 ,5,1, 1,336 ,226, 1,126 ,272
CT-503, Bridgeport Stamford Norwalk Danbury/Fairfield County CoC ,Other Largely Urban CoC,771,185,77,509,316,452,3,0,504,267,305,385,10,4,1,66
CT-505,Connecticut Balance of State CoC,Largely Suburban CoC, 2262 ,403,195, 1,664 ,817, 1,443 ,1,1, 1,631 ,631, 1,256 ,765
DC-500,District of Columbia CoC,Major City CoC, 6521 , 1,606 ,546, 4,369 , 2,649 , 3,823 ,40,9, 6,205 ,316,413
DE-500,Delaware Statewide CoC,Largely Suburban CoC,921,220,83,618,373,546,1,1,838,83,372,478,2,4,10,55
FL-500, Sarasota Bradenton/Manatee Sarasota Counties CoC ,Largely Suburban CoC, 1,135 ,104,89,942,321,809,5,0,997,138,839,244,3,12,1
FL-501,Tampa/Hillsborough County CoC,Major City CoC, 1650 ,310,74, 1,266 ,628, 1,020 ,2,0, 1,323 ,327,819,752,3
FL-502, St. Petersburg Clearwater Largo/Pinellas County CoC ,Largely Suburban CoC, 2,415 ,271,89, 2,055 ,760, 1,650 ,4,1, 2,253 ,162, 1,527 
FL-503, Lakeland Winterhaven/Polk County CoC ,Largely Suburban CoC,563,120,30,413,215,348,0,0,498,65,347,179,2,4,4,27
FL-504, Deltona Daytona Beach/Volusia Flagler Counties CoC ,Largely Suburban CoC,875,182,76,617,360,514,0,1,795,80,594,241,1,5,0,34
FL-505, Fort Walton Beach/Okaloosa Walton Counties CoC ,Largely Suburban CoC,399,45,10,344,151,248,0,0,377,22,322,64,2,5,2,4
FL-506,Tallahassee/Leon County CoC,Other Largely Urban CoC,966,143,67,756,330,630,6,0,909,57,335,593,4,8,5,21
FL-507, Orlando/Orange Osceola Seminole Counties CoC ,Largely Suburban CoC, 2,010 ,461,125, 1,424 ,758, 1,242 ,10,0, 1,635 ,375,838, 1
FL-508, Gainesville/Alachua Putnam Counties CoC ,Largely Rural CoC,804,89,39,676,274,526,1,3,751,53,417,336,5,18,0,28
FL-509, Fort Pierce/St. Lucie Indian River Martin Counties CoC ,Largely Suburban CoC, 1,499 ,457,58,984,683,816,0,0, 1,422 ,77,971,429,0,17
FL-510, Jacksonville-Duval Clay Counties CoC ,Major City CoC, 1,654 ,228,109, 1,317 ,532, 1,116 ,5,1, 1,612 ,42,665,900
FL-511, Pensacola/Escambia Santa Rosa Counties CoC ,Largely Suburban CoC,518,28,34,456,139,378,1,0,499,19,285,210,1,5,5,12
FL-512,St. Johns County CoC,Largely Suburban CoC,356,76,11,269,160,196,0,0,335,21,248,96,0,5,2,5
FL-513, Palm Bay Melbourne/Brevard County CoC ,Largely Suburban CoC,815,146,38,631,257,557,1,0,749,66,579,194,3,4,5,30
FL-514,Ocala/Marion County CoC,Largely Suburban CoC,475,72,20,383,154,321,0,0,449,26,330,132,1,2,0,10
FL-515, Panama City/Bay Jackson Counties CoC ,Largely Rural CoC,488,19,36,433,174,311,3,0,443,45,317,153,4,7,0,7
FL-517, Hendry Hardee Highlands Counties CoC ,Largely Rural CoC,398,137,32,229,169,229,0,0,306,92,260,138,0,0,0,0
FL-518, Columbia Hamilton Lafayette Suwannee Counties CoC ,Largely Rural CoC,538,54,52,432,232,306,0,0,519,19,304,231,0,1,0,2
FL-519,Pasco County CoC,Largely Suburban CoC,894,127,58,709,307,581,2,4,822,72,748,97,3,6,1,39
FL-520, Citrus Hernando Lake Sumter Counties CoC ,Largely Suburban CoC,677,114,59,504,265,411,0,1,627,50,534,103,9,9,8,14
FL-600,Miami-Dade County CoC,Major City CoC, 3472 ,801,227, 2,444 , 1,156 , 2,299 ,12,5, 2,336 , 1,136 , 1
FL-601,Ft Lauderdale/Broward County CoC,Largely Suburban CoC, 2803 ,305,131, 2,367 ,858, 1,934 ,9,2, 2,497 ,306, 1,129 , 1
FL-602,Punta Gorda/Charlotte County CoC,Largely Suburban CoC,156,15,10,131,54,102,0,0,142,14,138,10,0,2,1,5
FL-603, Ft Myers Cape Coral/Lee County CoC ,Largely Suburban CoC,372,75,12,285,161,211,0,0,326,46,244,120,1,3,1,3
FL-604,Monroe County CoC,Largely Rural CoC,501,37,17,447,94,406,0,1,431,70,457,30,1,5,0,8
FL-605,West Palm Beach/Palm Beach County CoC,Largely Suburban CoC, 1397 ,173,108, 1,116 ,461,930,5,1, 1,226 ,171,624,711,17,11
FL-606,Naples/Collier County CoC,Largely Suburban CoC,498,114,14,370,231,266,1,0,353,145,348,98,3,5,1,43
GA-500,Atlanta CoC,Major City CoC, 3217 ,318,187, 2,712 ,831, 2,358 ,23,5, 3,072 ,145,311, 2,764 
GA-501,Georgia Balance of State CoC,Largely Rural CoC, 4183 ,816,253, 3,114 , 1,770 , 2,404 ,5,4, 3,926 ,257, 1,905 
GA-502,Fulton County CoC,Largely Suburban CoC,632,159,54,419,305,306,19,2,555,77,122,479,4,0,1,26
CoC Number,CoC Name,CoC Category, Overall Homeless 2019 , Overall Homeless - Under 18, 2019 , Overall Homeless - Age 18 to 24, 2019 , Overall Homeless - Over 24, 2019 , Overall Homeless - Female, 2019 , Overall Homeless - Male, 2019 , Overall Homeless - Transgender, 2019 , Overall Homeless - Gender Non-Conforming, 2019 , Overall Homeless - Non-Hispanic/Non-Latino
GA-503,Athens-Clarke County CoC,Other Largely Urban CoC,237,54,9,174,93,143,1,0,230,7,109,121,1,1,0,5
GA-504,Augusta-Richmond County CoC,Other Largely Urban CoC,384,48,17,319,128,256,0,0,374,10,127,244,3,3,0,7
GA-505,Columbus-Muscogee CoC,Other Largely Urban CoC,278,45,18,215,112,165,1,0,273,5,111,153,0,1,4,9
GA-506,Marietta/Cobb County CoC,Largely Suburban CoC,451,88,19,344,181,269,1,0,447,4,159,257,1,3,0,31
GA-507,Savannah/Chatham County CoC,Other Largely Urban CoC,686,72,74,540,199,481,6,0,670,16,286,392,3,2,1,2
GA-508,DeKalb County CoC,Largely Suburban CoC,375,79,11,285,146,228,1,0,353,22,45,314,0,0,0,16
GU-500,Guam CoC,Largely Rural CoC,875,334,95,446,427,448,0,0,825,50,13,5,31,3,791,32
HI-500,Hawaii Balance of State CoC,Largely Rural CoC, 1995 ,383,93, 1,519 ,837, 1,153 ,3,2, 1,714 ,281,684,65,107
HI-501,Honolulu City and County CoC,Largely Suburban CoC, 4417 ,794,230, 3,393 , 1,754 , 2,625 ,34,4, 3,843 ,574,761,172
IA-500, Sioux City/Dakota Woodbury Counties CoC ,Other Largely Urban CoC,255,65,11,179,107,147,1,0,217,38,130,48,1,62,4,10
IA-501,Iowa Balance of State CoC,Largely Rural CoC, 1379 ,353,110,916,605,774,0,0, 1,275 ,104,943,356,6,19,2
IA-502,Des Moines/Polk County CoC,Other Largely Urban CoC,681,77,66,538,205,474,1,1,626,55,458,162,13,10,2,36
ID-500,Boise/Ada County CoC,Other Largely Urban CoC,713,98,42,573,226,486,0,1,650,63,602,44,5,23,6,33
ID-501,Idaho Balance of State CoC,Largely Rural CoC, 1602 ,375,178, 1,049 ,694,906,0,2, 1,408 ,194, 1,301 ,29,7
IL-500,McHenry County CoC,Largely Suburban CoC,159,35,31,93,83,76,0,0,146,13,123,30,5,0,0,1
IL-501, Rockford/DeKalb Winnebago Boone Counties CoC ,Largely Suburban CoC,403,97,39,267,184,218,1,0,363,40,188,191,3,3,0,18
IL-502, Waukegan North Chicago/Lake County CoC ,Largely Suburban CoC,252,66,18,168,119,132,1,0,196,56,135,99,2,0,0,16
IL-503, Champaign Urbana Rantoul/Champaign County CoC ,Other Largely Urban CoC,151,49,10,92,61,89,0,1,145,6,45,104,0,1,0,1
IL-504,Madison County CoC,Largely Suburban CoC,101,31,10,60,55,46,0,0,99,2,48,48,0,0,0,5
IL-506, Joliet Bolingbrook/Will County CoC ,Largely Suburban CoC,278,62,14,202,111,167,0,0,229,49,132,140,2,1,0,3
IL-507, Peoria Pekin/Fulton Tazewell Peoria Woodford Counties CoC ,Largely Suburban CoC,285,51,17,217,117,166,2,0,271,14,162,105,3,2,0,13
IL-508, East St. Louis Belleville/St. Clair County CoC ,Largely Suburban CoC,247,88,17,142,134,113,0,0,246,1,57,179,0,1,0,10
IL-510,Chicago CoC,Major City CoC, 5290 , 1,263 ,457, 3,570 , 2,044 , 3,216 ,21,9, 4,733 ,557, 1
IL-511,Cook County CoC,Largely Suburban CoC,897,206,86,605,386,510,0,1,776,121,359,499,13,1,3,22
IL-512,Bloomington/Central Illinois CoC,Largely Rural CoC,319,64,43,212,133,185,0,1,314,5,180,124,1,3,1,10
IL-513,Springfield/Sangamon County CoC,Other Largely Urban CoC,284,47,20,217,111,173,0,0,269,15,173,91,0,0,1,19
IL-514,DuPage County CoC,Largely Suburban CoC,309,73,55,181,147,158,4,0,272,37,147,146,10,0,1,5
IL-515,South Central Illinois CoC,Largely Rural CoC,94,18,9,67,51,42,0,1,89,5,85,7,0,0,0,2
IL-516,Decatur/Macon County CoC,Other Largely Urban CoC,169,33,18,118,69,100,0,0,166,3,87,71,1,1,0,9
IL-517, Aurora Elgin/Kane County CoC ,Largely Suburban CoC,388,38,24,326,160,227,1,0,309,79,233,126,5,3,1,20
IL-518, Rock Island Moline/Northwestern Illinois CoC ,Largely Rural CoC,211,45,29,137,86,125,0,0,203,8,134,66,0,2,0,9
IL-519,West Central Illinois CoC,Largely Rural CoC,68,20,7,41,40,27,1,0,66,2,51,10,0,0,0,7
IL-520,Southern Illinois CoC,Largely Rural CoC,294,69,22,203,150,144,0,0,275,19,214,65,0,1,0,14
IN-502,Indiana Balance of State CoC,Largely Rural CoC, 3904 ,817,250, 2,837 , 1,690 , 2,201 ,8,5, 3,705 ,199, 2,735 
IN-503,Indianapolis CoC,Major City CoC, 1567 ,275,77, 1,215 ,515, 1,045 ,7,0, 1,522 ,45,554,956,10
KS-502,Wichita/Sedgwick County CoC,Other Largely Urban CoC,593,112,21,460,192,401,0,0,527,66,352,181,10,23,5,22
KS-503,Topeka/Shawnee County CoC,Other Largely Urban CoC,441,69,23,349,166,275,0,0,399,42,276,100,2,13,11,39
KS-505, Overland Park Shawnee/Johnson County CoC ,Largely Suburban CoC,189,51,12,126,107,82,0,0,176,13,110,52,4,5,3,15
KS-507,Kansas Balance of State CoC,Largely Rural CoC, 1056 ,144,89,823,440,615,0,1,942,114,716,166,2,75,5,92
KY-500,Kentucky Balance of State CoC,Largely Rural CoC, 2221 ,385,202, 1,634 , 1,004 , 1,214 ,3,0, 2,165 ,56, 1,840 
KY-501,Louisville-Jefferson County CoC,Major City CoC, 1071 ,175,70,826,318,753,0,0, 1,018 ,53,498,481,2,11,1
KY-502,Lexington-Fayette County CoC,Other Largely Urban CoC,787,69,36,682,262,525,0,0,749,38,529,207,8,5,0,38
LA-500,Lafayette/Acadiana CoC,Largely Rural CoC,360,52,18,290,122,238,0,0,350,10,151,187,1,6,0,15
LA-502, Shreveport Bossier/Northwest Louisiana CoC ,Other Largely Urban CoC,292,44,10,238,94,198,0,0,291,1,90,189,1,2,0,10
LA-503,New Orleans/Jefferson Parish CoC,Major City CoC, 1179 ,86,84, 1,009 ,289,876,7,7, 1,130 ,49,428,721,4,19
LA-505,Monroe/Northeast Louisiana CoC,Largely Rural CoC,188,70,18,100,93,95,0,0,187,1,52,135,0,1,0,0
LA-506,Slidell/Southeast Louisiana CoC,Largely Suburban CoC,215,15,4,196,42,173,0,0,211,4,145,63,0,0,0,7
LA-507,Alexandria/Central Louisiana CoC,Largely Rural CoC,114,17,4,93,31,83,0,0,114,0,57,52,0,0,0,5
LA-509,Louisiana Balance of State CoC,Largely Suburban CoC,593,91,44,458,196,395,2,0,577,16,214,359,1,6,2,11
MA-500,Boston CoC,Major City CoC, 6242 , 2,311 ,483, 3,448 , 2,941 , 3,286 ,10,5, 3,579 , 2,663 
MA-502,Lynn CoC,Largely Suburban CoC, 1035 ,565,102,368,590,444,1,0,463,572,697,303,4,6,13,12
MA-503,Cape Cod Islands CoC,Largely Suburban CoC,371,104,21,246,196,174,1,0,321,50,272,78,1,5,0,15
MA-504,Springfield/Hampden County CoC,Largely Suburban CoC, 2443 , 1,292 ,203,948, 1,316 , 1,125 ,2,0, 1,024 , 1,419 , 1
MA-505,New Bedford CoC,Largely Suburban CoC,433,117,26,290,197,236,0,0,323,110,244,115,0,3,0,71
MA-506,Worcester City & County CoC,Largely Suburban CoC, 1593 ,579,168,846,760,827,4,2,970,623, 1,165 ,373,23,6,4
MA-507, Pittsfield/Berkshire Franklin Hampshire Counties CoC ,Largely Suburban CoC,546,108,29,409,217,326,0,3,425,121,402,91,1,4,2,46
MA-508,Lowell CoC,Largely Suburban CoC,784,358,51,375,379,405,0,0,467,317,553,180,26,20,0,5
MA-509,Cambridge CoC,Other Largely Urban CoC,555,90,77,388,197,351,3,4,449,106,301,222,5,7,2,18
MA-510, Gloucester Haverhill Salem/Essex County CoC ,Largely Suburban CoC,760,289,45,426,373,387,0,0,559,201,520,204,12,10,2,12
MA-511, Quincy Brockton Weymouth Plymouth City and County CoC ,Largely Suburban CoC, 1,088 ,404,75,609,540,546,2,0,896,192,551,497,4,7,3
MA-515,Fall River CoC,Largely Suburban CoC,320,162,14,144,170,150,0,0,215,105,185,114,3,5,0,13
MA-516,Massachusetts Balance of State CoC,Largely Suburban CoC, 1918 ,840,219,859, 1,047 ,868,3,0, 1,139 ,779, 1,040 ,686,14
MA-517,Somerville CoC,Largely Suburban CoC,127,18,13,96,77,49,1,0,103,24,65,55,1,1,1,4
MA-519, Attleboro Taunton/Bristol County CoC ,Largely Suburban CoC,256,120,14,122,118,137,1,0,158,98,131,115,1,5,1,3
MD-500,Cumberland/Allegany County CoC,Largely Suburban CoC,145,27,9,109,98,47,0,0,145,0,119,14,0,0,0,12
MD-501,Baltimore CoC,Major City CoC, 2294 ,236,134, 1,924 ,631, 1,660 ,1,2, 2,234 ,60,602, 1,609 
MD-502,Harford County CoC,Largely Suburban CoC,228,86,16,126,100,127,1,0,204,24,116,83,1,2,0,26
MD-503,Annapolis/Anne Arundel County CoC,Largely Suburban CoC,302,49,23,230,112,189,1,0,296,6,164,118,1,1,0,18
MD-504,Howard County CoC,Largely Suburban CoC,201,68,14,119,93,107,1,0,192,9,45,132,2,5,1,16
MD-505,Baltimore County CoC,Largely Suburban CoC,735,188,33,514,344,391,0,0,723,12,253,439,3,4,1,35
MD-506,Carroll County CoC,Largely Suburban CoC,144,22,17,105,57,84,3,0,141,3,111,15,0,2,0,16
MD-507,Cecil County CoC,Largely Suburban CoC,126,28,3,95,34,92,0,0,119,7,91,30,0,0,0,5
MD-508, Charles Calvert St.Mary's Counties CoC ,Largely Suburban CoC,306,51,21,234,125,170,11,0,304,2,114,175,1,2,1,13
MD-509,Frederick City & County CoC,Largely Suburban CoC,286,46,20,220,82,204,0,0,272,14,183,81,2,0,0,20
MD-510,Garrett County CoC,Largely Rural CoC,12,0,0,12,5,7,0,0,12,0,12,0,0,0,0,0
MD-511,Mid-Shore Regional CoC,Largely Rural CoC,164,48,14,102,84,80,0,0,151,13,83,66,0,1,1,13
MD-512,Hagerstown/Washington County CoC,Largely Suburban CoC,249,24,18,207,77,171,1,0,242,7,171,70,1,0,1,6
MD-513, Wicomico Somerset Worcester Counties CoC ,Largely Rural CoC,275,49,13,213,110,164,1,0,272,3,116,152,0,0,0,7
MD-600,Prince George's County CoC,Largely Suburban CoC,447,162,36,249,261,185,1,0,432,15,22,406,0,1,0,18
MD-601,Montgomery County CoC,Largely Suburban CoC,647,130,28,489,277,369,1,0,553,94,183,388,20,2,13,41
ME-500,Maine Statewide CoC,Largely Rural CoC, 2106 ,541,147, 1,418 ,995, 1,094 ,13,4, 2,006 ,100, 1,581 ,375
MI-500,Michigan Balance of State CoC,Largely Rural CoC, 1245 ,390,121,734,641,599,4,1, 1,171 ,74, 1,022 ,113,8,19
MI-501,Detroit CoC,Major City CoC, 1965 ,373,158, 1,434 ,639, 1,325 ,1,0, 1,935 ,30,180, 1,739 
MI-502, Dearborn Dearborn Heights Westland/Wayne County CoC ,Largely Suburban CoC,222,93,3,126,107,114,1,0,214,8,92,108,5,2,1,14
MI-503, St. Clair Shores Warren/Macomb County CoC ,Largely Suburban CoC,265,53,9,203,107,158,0,0,254,11,116,136,1,1,0,11
MI-504, Pontiac Royal Oak/Oakland County CoC ,Largely Suburban CoC,425,128,57,240,187,237,0,1,413,12,136,260,2,0,1,26
MI-505,Flint/Genesee County CoC,Largely Suburban CoC,450,102,52,296,155,295,0,0,403,47,97,344,0,6,1,2
MI-506, Grand Rapids Wyoming/Kent County CoC ,Other Largely Urban CoC,759,226,56,477,316,440,3,0,653,106,321,382,1,10,4,41
MI-507, Portage Kalamazoo City & County CoC ,Other Largely Urban CoC,702,178,51,473,288,414,0,0,661,41,269,396,6,9,0,22
MI-508, Lansing East Lansing/Ingham County CoC ,Other Largely Urban CoC,476,110,44,322,202,272,2,0,446,30,212,201,2,3,0,58
MI-509,Washtenaw County CoC,Largely Suburban CoC,273,54,33,186,100,172,1,0,262,11,113,142,1,0,0,17
MI-510,Saginaw City & County CoC,Largely Suburban CoC,364,126,31,207,160,204,0,0,275,89,169,163,1,7,1,23
MI-511,Lenawee County CoC,Largely Rural CoC,123,44,9,70,73,50,0,0,97,26,91,23,0,2,0,7
MI-512, Grand Traverse Antrim Leelanau Counties CoC ,Largely Rural CoC,168,27,12,129,57,110,1,0,157,11,147,3,1,9,0,8
MI-513, Marquette Alger Counties CoC ,Largely Rural CoC,53,14,2,37,19,34,0,0,50,3,48,0,0,3,0,2
